PLAN_ID,PARTY_ID,ID_PILAR,PROYECTO,APROPIACION_DEFINITIVA,COMPROMISOS
6279,6319,6291,P1. Dise帽o y renovaci贸n curricular de los programas acad茅micos,"$ 43,661,040","$ 39,254,917"
6279,6320,6291,P2. Evaluaci贸n y aseguramiento de la calidad,"$ 224,485,640","$ 220,343,460"
6279,6321,6291,P3. Acceso e inserci贸n a la vida universitaria,"$ 31,147,553","$ 30,821,000"
6279,6322,6291,P4. Acompa帽amiento y seguimiento acad茅mico,"$ 182,265,671","$ 175,802,708"
6279,6323,6291,P5. Formaci贸n docente: avanzada continua y permanente,"$ 501,513,078","$ 433,591,213"
6279,6324,6291,P6. Acompa帽amiento al desarrollo del egresado,"$ 88,225,320","$ 88,225,320"
6279,6325,6291,P7. Vinculaci贸n de los egresados a los procesos institucionales,"$ 27,112,660","$ 27,112,660"
6279,6326,6291,P8. Aseguramiento de la infraestructura tecnologica para soportar los procesos de formaci贸n con TIC,"$ 12,733,000","$ 10,227,285"
6279,6327,6291,P9. Desarrollo de Ecosistemas TIC enfocados a experiencias y ambientes educativos interactivos,"$ 97,725,000","$ 97,725,000"
6279,6328,6291,P10. Formaci贸n Acad茅mica mediada por ambientes virtuales,"$ 23,127,456","$ 12,935,000"
6279,6329,6291,P11. Capacidad acad茅mica y administrativa que garantice la proyecci贸n de la Educaci贸n Superior con TIC,"$ 10,944,800","$ 10,934,200"
6279,6330,6292,P12. Fortalecimiento de la Investigaci贸n Institucional,"$ 1,678,132,805","$ 1,670,518,778"
6279,6331,6292,P13. Internacionalizaci贸n de la Investigaci贸n Innovaci贸n y Extensi贸n,"$ 20,960,000","$ 20,960,000"
6279,6332,6292,P14. Fomento y Fortalecimiento de la Extensi贸n Universitaria,"$ 352,416,231","$ 284,312,210"
6279,6333,6292,P15. Promoci贸n comercializaci贸n y transferencia de capacidades institucionales a trav茅s de la prestaci贸n de Servicios de Extensi贸n,"$ 20,068,269","$ 20,068,269"
6279,6334,6292,P16. Vinculaci贸n de los estudiantes en el entorno a trav茅s de las pr谩cticas universitarias,"$ 26,468,220","$ 26,468,220"
